index,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
622,81213896,Movie,Rajnigandha,Basu Chatterjee,"Vidya Sinha, Amol Palekar, Dinesh Thakur, Ranjita Thakur, Veena Gaud, Manju Maini",India,"December 31, 2019",1974,TV-PG,104 min,"Comedies, Dramas, Independent Movies","A grad student leaves her boyfriend in Delhi for a job interview in Mumbai, where she reconnects with an old flame for whom she still has feelings."
623,60003097,Movie,Ram Teri Ganga Maili,Raj Kapoor,"Mandakini, Rajiv Kapoor, Divya Rana, Saeed Jaffrey, Kulbhushan Kharbanda, Raza Murad, Sushma Seth, Trilok Kapoor",India,"December 31, 2019",1985,TV-14,178 min,"Classic Movies, Dramas, International Movies","Abandoned by her new husband and father of her son, a mountain woman journeys to Calcutta to find him, constantly tested by social evils along the way."
624,81213887,Movie,Ramji Londonwaley,Sanjay Dayma,"Madhavan, Samita Bangargi, Harsh Chhaya, Rajendranath Zutshi, Shikha Shalu Varma, Satish Shah, Akhilendra Mishra",India,"December 31, 2019",2005,TV-14,154 min,"Comedies, Dramas, International Movies","A small-town cook moves to London to earn a living, but from his employer’s sudden death to the immigration officials on his trail, plans soon go sour."
625,81217436,Movie,Road to Sangam,Amit Rai,"Paresh Rawal, Om Puri, Pavan Malhotra, Javed Sheikh, Swati Chitnis, Masood Akhtar, Sudhir Nema, Rakesh Srivastava",India,"December 31, 2019",2010,TV-14,136 min,"Dramas, Independent Movies, International Movies","As communal violence erupts in his neighborhood, a Muslim mechanic presses forward to repair a historic truck that will transport Gandhi’s last remains."
626,81221914,Movie,Saath Saath,Raman Kumar,"Deepti Naval, Farooq Shaikh, Satish Shah, Iftekhar, A.K. Hangal, Neena Gupta, Avtar Gill, Javed Khan",India,"December 31, 2019",1982,TV-14,118 min,"Dramas, Independent Movies, International Movies","A young woman falls for her classmate’s idealistic, non-materialistic ways, but is troubled upon seeing his principles change after they marry."
627,70072558,Movie,Sadma,Balu Mahendra,"Kamal Hassan, Sridevi, Silk Smitha, Gulshan Grover, Paintal, Arvind Deshpande",India,"December 31, 2019",1983,TV-14,137 min,"Dramas, International Movies, Romantic Movies","After a traumatic injury leaves her with amnesia and age regression, a young woman is sold to a brothel before a teacher becomes her savior."
628,60002818,Movie,Sangam,Raj Kapoor,"Raj Kapoor, Vyjayanthimala, Rajendra Kumar, Lalita Pawar, Achala Sachdev, Hari Shivdasani, Raj Mehra, Iftekhar",India,"December 31, 2019",1964,TV-14,228 min,"Classic Movies, Dramas, International Movies","Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend."
629,20257617,Movie,Satte Pe Satta,Raj N. Sippy,"Amitabh Bachchan, Hema Malini, Amjad Khan, Sachin, Shakti Kapoor, Ranjeeta Kaur, Paintal, Ranjeet",India,"December 31, 2019",1982,TV-14,153 min,"Comedies, Cult Movies, Dramas","The eldest of seven brothers who run a family farm together marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example."
630,70059284,Movie,Shiva,Ram Gopal Varma,"Nagarjuna Akkineni, Amala, Rajendranath Zutshi, Raghuvaran, Paresh Rawal, Brij Gopal, J.D. Chakravarthi, Tanikella Bharani",India,"December 31, 2019",1990,TV-MA,168 min,"Action & Adventure, Dramas, International Movies","A young man enrolls at a college and becomes a rival to the student-union president, who’s using force and intimidation to advance his criminal agenda."
631,60001404,Movie,Swami,Basu Chatterjee,"Shabana Azmi, Girish Karnad, Vikram, Dheeraj Kumar, Shashikala, Utpal Dutt, Preeti Ganguli, Sudha Shivpuri",India,"December 31, 2019",1977,TV-PG,123 min,"Dramas, Independent Movies, International Movies","After she enters into an arranged marriage, a spirited and intellectual young woman tries to adjust to life with a man who was not her choice."
